time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-09-24 12:30:00,2021-09-24 08:00:00,1.17371,1.17416,1.1731,1.17349,13723,0,10,16200.0
2021-09-24 16:30:00,2021-09-24 13:00:00,1.17349,1.17374,1.17007,1.17116,13610,0,8,12600.0
2021-09-24 22:30:00,2021-09-24 17:00:00,1.17116,1.1724999999999999,1.17045,1.17164,13213,0,12,19800.0
2021-09-27 09:30:00,2021-09-24 23:00:00,1.1716199999999999,1.17255,1.17108,1.17108,13729,0,22,210600.0
2021-09-27 13:00:00,2021-09-27 10:00:00,1.17108,1.17148,1.16848,1.1701,13464,0,7,10800.0
2021-09-27 16:00:00,2021-09-27 13:30:00,1.1701,1.17105,1.16894,1.1697,13239,0,6,9000.0
2021-09-27 19:30:00,2021-09-27 16:30:00,1.16968,1.17098,1.1690800000000001,1.17022,13354,0,7,10800.0
2021-09-28 10:00:00,2021-09-27 20:00:00,1.1702,1.17082,1.16724,1.16767,14786,0,29,50400.0
2021-09-28 14:30:00,2021-09-28 10:30:00,1.16767,1.16932,1.16721,1.16873,15343,0,9,14400.0
2021-09-28 17:00:00,2021-09-28 15:00:00,1.16873,1.17011,1.16717,1.16928,16271,0,5,7200.0
2021-09-28 19:30:00,2021-09-28 17:30:00,1.16928,1.16971,1.16682,1.16818,13557,0,5,7200.0
2021-09-29 04:00:00,2021-09-28 20:00:00,1.16818,1.1689,1.16754,1.16812,14249,0,17,28800.0
2021-09-29 10:00:00,2021-09-29 04:30:00,1.16811,1.16901,1.16566,1.16681,15698,0,12,19800.0
2021-09-29 13:30:00,2021-09-29 10:30:00,1.16681,1.16728,1.16555,1.16592,13269,0,7,10800.0
2021-09-29 16:30:00,2021-09-29 14:00:00,1.1659,1.16594,1.16321,1.1636,14429,0,6,9000.0
2021-09-29 19:30:00,2021-09-29 17:00:00,1.1636,1.16436,1.16008,1.16015,13355,0,6,9000.0
2021-09-30 07:30:00,2021-09-29 20:00:00,1.16015,1.16086,1.15894,1.16079,13354,0,24,41400.0
2021-09-30 12:00:00,2021-09-30 08:00:00,1.16079,1.16097,1.15915,1.16002,13905,0,9,14400.0
2021-09-30 16:00:00,2021-09-30 12:30:00,1.16,1.16012,1.15679,1.1589800000000001,15483,0,8,12600.0
2021-09-30 18:00:00,2021-09-30 16:30:00,1.15897,1.15983,1.15762,1.15869,15141,0,4,5400.0
2021-09-30 21:30:00,2021-09-30 18:30:00,1.15867,1.15894,1.15626,1.15845,14329,0,7,10800.0
2021-10-01 06:30:00,2021-09-30 22:00:00,1.15845,1.15887,1.1562999999999999,1.15758,13644,0,18,30600.0
2021-10-01 11:00:00,2021-10-01 07:00:00,1.15757,1.15912,1.15745,1.158,14533,0,9,14400.0
2021-10-01 15:00:00,2021-10-01 11:30:00,1.15802,1.16059,1.15725,1.16031,13529,0,8,12600.0
2021-10-01 17:00:00,2021-10-01 15:30:00,1.16031,1.16075,1.15838,1.15972,13352,0,4,5400.0
2021-10-01 21:00:00,2021-10-01 17:30:00,1.15972,1.16038,1.15866,1.16016,13256,0,8,12600.0
2021-10-04 08:30:00,2021-10-01 21:30:00,1.16016,1.16137,1.15876,1.15982,13634,0,23,212400.0
2021-10-04 12:30:00,2021-10-04 09:00:00,1.15978,1.16181,1.15962,1.16099,14160,0,8,12600.0
2021-10-04 17:00:00,2021-10-04 13:00:00,1.16099,1.164,1.16079,1.1629800000000001,14860,0,9,14400.0
2021-10-04 22:00:00,2021-10-04 17:30:00,1.16299,1.16375,1.1615199999999999,1.16176,13078,0,10,16200.0
2021-10-05 09:30:00,2021-10-04 22:30:00,1.16176,1.16225,1.159,1.15989,14430,0,23,39600.0
2021-10-05 14:30:00,2021-10-05 10:00:00,1.15988,1.16053,1.15902,1.15979,13656,0,10,16200.0
2021-10-05 17:30:00,2021-10-05 15:00:00,1.15979,1.16055,1.15806,1.15922,13364,0,6,9000.0
2021-10-06 03:00:00,2021-10-05 18:00:00,1.15922,1.16131,1.1592,1.1593499999999999,13785,0,19,32400.0
2021-10-06 10:00:00,2021-10-06 03:30:00,1.15933,1.15966,1.15694,1.15709,14070,0,14,23400.0
2021-10-06 13:30:00,2021-10-06 10:30:00,1.15709,1.15739,1.15292,1.15368,13725,0,7,10800.0
2021-10-06 16:30:00,2021-10-06 14:00:00,1.15368,1.15522,1.15357,1.15426,13497,0,6,9000.0
2021-10-06 20:30:00,2021-10-06 17:00:00,1.15426,1.15561,1.1532499999999999,1.15511,14082,0,8,12600.0
2021-10-07 08:00:00,2021-10-06 21:00:00,1.15512,1.1561,1.15488,1.15529,13407,0,23,39600.0
2021-10-07 12:30:00,2021-10-07 08:30:00,1.15529,1.15706,1.1549,1.15605,13234,0,9,14400.0
2021-10-07 16:30:00,2021-10-07 13:00:00,1.15605,1.15723,1.1547399999999999,1.15562,13876,0,8,12600.0
